inhibition_T0,shifting_T0,memory_T0,id
0.108782023,-0.082010337,0.041723841,1
0.239598331,-0.032017883,0.0267685,2
0.265707485,-0.054090315,0.030767558,3
0.233593426,-0.054839502,0.032134261,4
-0.612472858,0.096992153,-0.077182589,5
0.242592956,0.065956906,-0.001375914,6
-0.044950496,0.02364445,-0.015008092,7
-0.403470924,0.015219559,-0.024949036,8
0.040819975,-0.075281925,0.034564637,9
-0.090842261,0.071148157,-0.028686071,10
-0.440571165,0.045935466,-0.04206436,11
0.404176758,-0.049060198,0.038102307,12
-0.030500127,0.0210185,-0.007229555,13
-0.295292915,0.032039375,-0.024187422,14
0.058864419,-0.057341098,0.025183195,15
0.086362898,0.045614925,-0.019494439,16
0.248244738,-0.049273846,0.033892158,17
-0.429450042,0.079217126,-0.04763314,18
0.144960982,0.012059153,0.012647316,19
-0.015215671,0.066776447,-0.029508053,20
0.018448374,-0.016433397,0.013468348,21
0.327904532,-0.06567599,0.040739352,22
0.115223007,-0.051828932,0.02029857,23
0.218438929,-0.028834941,0.021664243,24
-0.069147105,-0.014201505,0.004564294,25
-0.28221925,0.073543529,-0.040248126,26
0.214804107,-0.006482785,0.013731958,27
-0.391812273,0.077518948,-0.053235866,28
0.199875382,-0.023170416,0.021944134,29
0.191019577,0.005300494,0.014976201,30
-0.054574868,-0.041261334,0.010941531,31
-0.063699302,-0.001898684,-0.001919074,32
-0.179509488,0.119527238,-0.045491644,33
0.077112823,0.000622363,0.003661561,34
-0.242206167,-0.003677854,-0.021577871,35
-0.439290002,0.053583944,-0.046924462,36
-0.571022032,0.081640059,-0.057259472,37
-0.245157129,-9.21E-05,-0.01889246,38
-0.371459332,-0.003272852,-0.022598352,39
-0.049673675,0.018800527,-0.006701732,40
-0.474535566,0.072293052,-0.06186787,41
0.1242072,-0.022741402,0.008617411,42
-0.106421194,0.010429658,-0.006045505,43
-0.180999321,0.008249626,-0.017947839,44
0.089218709,-0.043238965,0.009056571,45
0.096319468,0.04524947,-0.009902577,46
0.187727477,-0.033913721,0.02690112,47
-0.227917064,0.094518664,-0.04916892,48
-0.408952314,0.098703403,-0.053300561,49
-0.236915285,0.059434234,-0.03036825,50
0.0038672,-0.000185465,2.81E-05,51
-0.21180966,0.040391588,-0.031277947,52
0.182429745,-0.048289259,0.035168926,53
-0.139927708,-0.014565575,0.000800859,54
0.326185834,-0.007650837,0.018168447,55
0.257487327,-0.060128654,0.040318039,56
-0.097479282,-0.048660017,0.019438016,57
-0.237330943,0.067295235,-0.039372876,58
-0.429091616,0.029933372,-0.036237615,59
0.033852698,0.014559297,-0.004402475,60
-0.064378657,0.075955549,-0.033221919,61
0.173073231,-0.056486726,0.026778775,62
-0.073398809,0.063729986,-0.031818935,65
0.127884956,0.030232622,-0.002613971,66
0.196145849,0.064014578,-0.000707997,67
-0.340396127,0.13535801,-0.072168463,68
-0.364769863,0.02865432,-0.026847406,69
-0.342837071,0.023350268,-0.021817125,70
-0.165910987,0.113785426,-0.042808758,71
0.107001918,0.007315429,0.002759583,72
-0.040088938,-0.018170819,0.002165963,73
-0.17819032,0.054390212,-0.033642813,74
0.450527471,-0.029346132,0.040506354,75
0.317295081,-0.052028989,0.040201635,76
-0.430631945,0.116983374,-0.062926222,77
-0.110970044,-0.000845142,-0.007899895,78
0.331814154,-0.017394234,0.023645768,79
0.307893736,-0.053353172,0.036992242,80
0.196394898,-0.017645025,0.020325482,81
-0.109133315,0.144611299,-0.050696821,82
-0.141698269,0.101428711,-0.046737085,83
-0.110036285,0.02581544,-0.024354156,84
-0.140117962,-0.007372779,-0.00415392,85
-0.156947156,-0.009753077,-0.00745667,86
-0.058399509,-0.10859497,0.039651833,87
0.329607551,-0.043743472,0.037407767,88
-0.053446973,-0.03781319,0.014169039,89
0.292426432,-0.077214621,0.039948302,90
-0.30699844,0.001063412,-0.019796208,91
0.599012614,0.004818116,0.029345622,92
0.214112227,-0.067859396,0.037125526,93
0.036070622,-0.016321252,0.006170824,94
-0.3145279,0.010541367,-0.026683016,95
0.111642416,-0.014182683,0.008235922,96
-0.09003738,-0.027247618,0.002337923,97
-0.194818531,0.006160262,-0.015864001,98
0.018101599,-0.001972043,0.004323479,99
-0.598084481,0.043978713,-0.059535954,100
-0.014199521,-0.050905437,0.026330813,101
-0.031359442,0.03989482,-0.017451584,102
0.087372336,-0.047320518,0.025451581,103
-0.148600688,0.047315755,-0.020228064,104
0.000843165,0.106891366,-0.026753958,105
-0.122354746,-0.013004922,0.002341672,106
0.009884714,-0.092366251,0.032267706,107
0.268616146,-0.045018004,0.031789396,108
0.203034662,-0.003740026,0.017378835,109
0.305142552,-0.029452684,0.019404557,110
0.039067879,0.031988008,-0.007192014,111
0.096830084,-0.020000354,0.010829106,112
0.34311834,-0.061710432,0.033246191,113
0.074440189,0.065234814,-0.017714892,114
-0.2975899,0.063291585,-0.034057881,115
-0.109885923,0.065216381,-0.021563286,116
-0.104900911,0.065585191,-0.030780389,117
-0.08713032,0.028557507,-0.016257618,118
0.061231861,0.012378556,-0.004777019,119
0.0472869,-0.057135506,0.022296528,120
-0.236289564,-0.043395779,0.004382323,121
-0.389982533,0.094202821,-0.053999023,122
0.208887086,-0.039889796,0.030233062,123
0.557914503,0.018524955,0.031149304,124
0.062753499,-0.050221467,0.026054189,125
0.35413905,-0.003170651,0.024870371,126
0.286524902,0.020829965,0.01001541,127
-0.350319089,0.075283687,-0.044250539,128
-0.160918267,0.094695133,-0.039856389,129
-0.121959144,0.09806988,-0.035755439,130
0.034068756,-0.065107823,0.0276792,131
0.520729752,-0.022391494,0.043082676,132
0.110938004,-0.005973186,0.013078052,134
-0.522856608,0.081490859,-0.06179281,135
-0.164330151,-0.031905557,0.007958704,136
-0.10770201,0.092987404,-0.039236585,137
0.157774758,0.114792542,-0.02472643,138
-0.066462833,-0.006309595,0.000523314,139
-0.245290421,0.016362937,-0.016599157,140
0.065708955,0.018909522,0.00274983,141
0.154885497,0.017523715,-0.000974609,142
0.1928556,0.01301769,0.007208277,143
-0.012579814,0.01366118,-0.006259278,144
0.077962681,-0.060314843,0.029860383,145
-0.110628777,0.017424721,-0.018842579,146
-0.354612817,0.049980483,-0.035957911,147
0.084913722,-0.081405922,0.037325589,148
0.409994803,-0.023249121,0.039107409,149
-0.000562884,-0.085302484,0.024766304,150
0.157022721,0.008248535,0.015886575,151
0.476305285,-0.03025649,0.032965437,152
-0.34844204,0.063740636,-0.046739229,153
0.346107576,-0.003106877,0.033665676,154
0.115077862,-0.011320988,0.011873857,155
-0.437202595,0.021918705,-0.037367319,156
-0.170860417,0.02276763,-0.02326586,157
0.380729843,-0.060272734,0.04443659,158
-0.452654299,0.123477127,-0.074409223,159
0.009962038,-0.043821782,0.015462567,160
0.027068122,-0.001706767,0.001196607,161
-0.483380181,0.053109692,-0.047041068,162
0.227133426,-0.022987492,0.020621684,163
-0.519225615,0.029106167,-0.044416381,164
-0.464022772,0.052568133,-0.045504598,165
-0.026012254,-0.024059597,0.006157043,166
-0.182553403,0.155872034,-0.066882724,167
0.346018484,-0.014450956,0.028533193,168
-0.040500414,-0.001163055,-0.008518722,169
0.165900349,0.007616098,0.017000391,170
0.095121976,-0.053288565,0.021759916,171
0.251265585,-0.079709886,0.045471113,172
0.173949941,-0.045103312,0.027708087,173
0.215154495,0.000620681,0.025216171,174
0.043040453,0.026756701,-0.018449232,175
-0.022946599,-0.009144413,0.003113775,176
-0.391787881,0.078756523,-0.051165001,177
0.134341463,-0.023907346,0.020657621,178
-0.487448515,0.072816938,-0.054910892,179
-0.386568082,0.100904302,-0.069666439,180
-0.153599541,0.076230022,-0.034098055,181
0.223623814,-0.045999667,0.026101697,182
0.001223629,-0.014366075,0.007322596,183
-0.276413511,0.125750263,-0.051942674,184
0.43437806,-0.076007824,0.054256181,185
0.209637386,-0.004177364,0.020889375,186
0.033452201,-0.123705399,0.042868046,187
-0.101236257,0.118607127,-0.036009507,188
0.113615855,0.006377418,0.012410128,189
0.345024699,-0.016337453,0.0176493,190
0.138160932,-0.024689202,0.019370605,191
-0.177111677,0.084919517,-0.037951256,192
-0.244512933,0.041161208,-0.036100419,193
-0.032625825,-0.084291876,0.030711762,194
0.14262021,-0.025846621,0.021974682,195
-0.005760849,0.036637716,-0.015262521,196
-0.343908231,0.01963278,-0.026654973,197
0.297783519,-0.13943105,0.059054523,198
0.263664531,-0.086251294,0.037360257,199
-0.256365089,0.019167095,-0.019768431,200
0.504631917,-0.003176489,0.028200751,201
-0.047460502,-0.04825082,0.011155103,202
-0.222400633,0.01214586,-0.018153808,203
-0.065815394,-0.033792653,0.009573202,204
NA,NA,NA,205
NA,NA,NA,206
NA,NA,NA,207
0.222440469,-0.055494722,0.02086788,208
0.012245703,0.015463224,-0.006092717,209
-0.041652658,0.003416727,-0.005557926,210
0.383078742,-0.058640318,0.03594847,211
0.055428996,0.011898331,-0.003266157,212
0.414569761,-0.113337942,0.051254581,213
-0.12870859,-0.056764752,0.012392927,214
0.153876585,-0.052226529,0.024026454,215
-0.018613179,-0.100233368,0.035123804,216
0.224111157,-0.112223038,0.049029244,217
NA,NA,NA,218
NA,NA,NA,219
NA,NA,NA,220
-0.0717714,-0.021918098,0.002374194,221
-0.02878197,-0.020232257,0.000847235,222
0.422136235,-0.010590836,0.023809405,223
NA,NA,NA,224
NA,NA,NA,225
0.058509933,-0.084339422,0.027632105,226
NA,NA,NA,227
0.15526507,-0.065895906,0.02745567,228
NA,NA,NA,229
NA,NA,NA,230
NA,NA,NA,231
-0.086099025,-0.067514097,0.016963021,232
0.258210626,-0.043760814,0.026649389,233
NA,NA,NA,234
NA,NA,NA,235
NA,NA,NA,236
0.434138205,-0.073384445,0.041883708,237
0.318841469,-0.031677671,0.026409365,238
NA,NA,NA,239
NA,NA,NA,240
NA,NA,NA,241
NA,NA,NA,242
NA,NA,NA,243
NA,NA,NA,244
NA,NA,NA,245
0.295341776,-0.060559712,0.039519513,246
0.244695533,-0.08295144,0.035691605,247
NA,NA,NA,248
NA,NA,NA,249
0.027868523,-0.103946141,0.0310783,250
-0.193674005,-0.033965135,-0.003211063,251
-0.042560945,-0.075479192,0.020889294,252
NA,NA,NA,253
NA,NA,NA,254
0.111568876,-0.022660149,0.014835626,255
-0.040085636,0.015324535,-0.008419932,256
NA,NA,NA,257
-0.149610599,0.015034272,-0.01329059,258
0.311306084,-0.022130805,0.023718092,259
0.254252183,-0.060668607,0.037692227,260
-0.069880567,-0.031723505,0.001822846,261
-0.148332962,-0.044031254,0.001314016,262
-0.24849001,-0.023614376,-0.001176468,263
NA,NA,NA,264
0.235675967,-0.116215973,0.050534489,265
