id,timepoint,CorticalThickness,Rputa.frontal_FA,Rputa.frontal_MD,Rputa.frontal_RD,Rcaud.frontal_FA,Rcaud.frontal_MD,Rcaud.frontal_RD,HavardOxford_Cortl,DMN,FPN,CON
197,0,2.727104305,0.390155,8.85E-04,6.85E-04,0.380241,9.23E-04,7.20E-04,NA,0.40367278,0.323042298,0.311670024
201,0,2.937008246,0.397291,8.56E-04,7.00E-04,0.374219,9.23E-04,7.30E-04,3.063667931,0.396834759,0.248013781,0.25734355
202,0,2.855128971,0.415584,8.99E-04,6.79E-04,0.374561,9.20E-04,7.19E-04,1.111339446,0.421651884,0.261542359,0.468986692
203,0,2.920494583,0.420904,8.56E-04,6.45E-04,0.407254,9.54E-04,7.27E-04,1.22127514,0.256164694,0.160453047,0.290787236
1,1,2.875027084,0.382232,9.09E-04,7.08E-04,0.362684,9.26E-04,7.35E-04,-0.747408713,0.263462275,0.302023008,0.2142617
2,1,2.884008392,0.405451,8.81E-04,6.76E-04,0.363524,9.56E-04,7.59E-04,0.71684731,0.237611614,0.360524737,0.248480437
3,1,2.767757579,0.43222,8.49E-04,6.29E-04,0.380563,8.79E-04,6.84E-04,0.126533767,0.269554841,0.369976595,0.325520737
4,1,2.896056535,0.403833,8.51E-04,6.52E-04,0.350879,9.42E-04,7.58E-04,0.982932572,0.447586684,0.211301633,0.322131302
6,1,2.861072419,0.405627,8.65E-04,6.63E-04,0.424289,9.55E-04,7.09E-04,1.21354919,0.238380004,0.182941387,0.4245872
8,1,2.959438057,0.39676,8.88E-04,6.80E-04,0.358702,9.65E-04,7.67E-04,1.1543381,0.170775846,0.17128647,0.343566463
9,1,2.78952456,0.39695,8.68E-04,6.69E-04,0.415654,9.33E-04,7.05E-04,-1.821190596,0.456698693,0.269267588,0.306386597
12,1,2.838078735,0.399515,8.75E-04,6.74E-04,0.405391,8.62E-04,7.07E-04,1.299910835,0.320861062,0.263452102,0.443660876
13,1,2.809400976,0.400486,8.81E-04,6.75E-04,0.36536,9.14E-04,7.24E-04,1.710933491,0.460541316,0.312660171,0.513559142
14,1,2.928241447,0.379767,9.07E-04,7.09E-04,0.377177,9.52E-04,7.44E-04,3.063667931,0.314927624,0.358455629,0.218327731
15,1,2.949341189,0.380478,9.07E-04,7.09E-04,0.372085,1.00E-03,7.89E-04,1.315162554,0.298868427,0.307471823,0.25734355
16,1,2.919410618,0.438533,9.10E-04,7.00E-04,0.384756,9.23E-04,7.07E-04,1.3917256,0.526046586,0.187997902,0.443660876
17,1,2.742508486,0.381686,9.43E-04,7.02E-04,0.35398,9.59E-04,7.46E-04,-0.519603065,0.237611614,0.259200285,0.287286114
19,1,2.91165955,0.357022,9.48E-04,7.57E-04,0.387127,9.90E-04,7.69E-04,0.497025561,0.426102114,0.306438143,0.288458917
20,1,2.742508486,0.38863,8.56E-04,7.02E-04,0.34202,8.62E-04,7.46E-04,1.26194323,0.320529708,0.138467673,0.321715464
21,1,2.924881761,0.389073,8.46E-04,6.56E-04,0.341525,8.78E-04,7.07E-04,1.787934841,0.30255125,0.309911107,0.388607175
22,1,2.785599709,0.443095,8.19E-04,6.01E-04,0.43134,8.36E-04,6.25E-04,0.141028326,0.343263018,0.277198111,0.31700471
27,1,2.939334371,0.430711,8.28E-04,6.14E-04,0.401659,8.92E-04,6.86E-04,0.862191403,0.346142261,0.248013781,0.324493778
28,1,3.002730657,0.387989,9.43E-04,6.48E-04,0.358409,9.03E-04,7.38E-04,1.21354919,0.295411399,0.349311605,0.230278255
29,1,2.841317213,0.417998,8.68E-04,6.50E-04,0.3985,9.03E-04,6.93E-04,0.085430059,0.20137597,0.335343993,0.268269968
30,1,2.554355588,0.444846,8.66E-04,6.33E-04,0.354774,9.03E-04,7.38E-04,1.16681879,0.481268195,0.311006128,0.276150708
31,1,2.699339842,0.410435,8.68E-04,6.61E-04,0.365733,9.13E-04,7.22E-04,-0.567226557,0.551394523,0.221105429,0.33231587
32,1,2.787885943,0.403402,9.17E-04,6.97E-04,0.401492,9.76E-04,7.53E-04,1.656323435,0.285163498,0.308778089,0.326001118
33,1,3.063573887,0.400574,8.63E-04,6.61E-04,0.399274,8.92E-04,6.85E-04,-1.330768729,0.318844543,0.233400189,0.415056594
34,1,2.758344702,0.387989,8.76E-04,6.82E-04,0.372695,9.46E-04,7.47E-04,-1.298594829,0.320529708,0.352193481,0.256846634
36,1,2.878282884,0.371663,8.56E-04,7.00E-04,0.381635,9.11E-04,7.07E-04,-1.009715766,0.492098826,0.182941387,0.268371247
38,1,3.043866026,0.470421,8.65E-04,6.16E-04,0.365717,8.62E-04,7.46E-04,-0.127379543,0.458797633,0.202131,0.31787676
39,1,2.720288067,0.412563,8.56E-04,6.52E-04,0.384196,8.98E-04,6.94E-04,-0.542256095,0.320668548,0.261850867,0.200061332
40,1,2.76209539,0.408266,8.95E-04,6.83E-04,0.377838,9.64E-04,7.56E-04,-0.799715759,0.298127251,0.258004536,0.279016373
41,1,2.930738442,0.396635,8.91E-04,6.88E-04,0.354774,0.00100974,8.12E-04,1.499302554,0.27754855,0.299647365,0.242789672
42,1,2.786472292,0.384212,9.43E-04,7.00E-04,0.368089,9.59E-04,7.38E-04,0.397862332,0.411538111,0.263452102,0.330921737
43,1,3.00037154,0.411893,8.58E-04,6.48E-04,0.397596,9.03E-04,7.07E-04,-0.475512135,0.412528685,0.366559118,0.343566463
45,1,3.02173735,0.401978,8.81E-04,6.72E-04,0.374219,9.23E-04,7.38E-04,-2.045644518,0.257279997,0.183098688,0.409985747
46,1,2.680445063,0.426203,9.10E-04,6.48E-04,0.364872,9.11E-04,7.46E-04,-2.836312128,0.324238771,0.350754117,0.276193933
47,1,2.965281474,0.395491,8.64E-04,6.72E-04,0.363553,9.25E-04,7.33E-04,0.183085467,0.424996194,0.263452102,0.422773669
48,1,2.787712408,0.385373,9.05E-04,7.04E-04,0.362685,9.22E-04,7.32E-04,1.735451733,0.31985522,0.274161875,0.316665548
49,1,2.784011528,0.440707,8.56E-04,7.00E-04,0.39653,9.11E-04,7.16E-04,1.663877658,0.27191863,0.184689337,0.219561386
50,1,2.952924045,0.39676,9.10E-04,6.28E-04,0.388023,9.23E-04,7.30E-04,3.530313832,0.359272602,0.122902732,0.410459942
51,1,2.686566452,0.411893,8.56E-04,6.48E-04,0.39653,9.03E-04,7.07E-04,-0.657029984,0.458797633,0.286568831,0.244967713
53,1,2.875027084,0.404576,9.43E-04,6.90E-04,0.377177,9.23E-04,7.46E-04,0.335124315,0.346391367,0.138366293,0.41117719
54,1,2.719821804,0.382066,9.10E-04,6.90E-04,0.349251,9.23E-04,7.30E-04,-4.088259186,0.411568324,0.39010501,0.310617104
55,1,2.764689065,0.410569,8.56E-04,7.00E-04,0.381635,8.62E-04,7.38E-04,-0.053332302,0.276366141,0.255168164,0.291104923
56,1,2.981808618,0.411766,8.58E-04,6.90E-04,0.327486,9.11E-04,7.16E-04,0.486002412,0.247295124,0.262835599,0.248029705
57,1,2.753795068,0.387708,8.98E-04,6.97E-04,0.382093,8.62E-04,7.46E-04,2.452192223,0.370133724,0.264255958,0.343102377
58,1,2.983611616,0.371213,9.50E-04,7.48E-04,0.372086,9.99E-04,7.83E-04,0.86731398,0.294029986,0.388813305,0.281218445
59,1,2.742508486,0.390166,9.43E-04,7.25E-04,0.3444,0.00104505,8.46E-04,-0.13799596,0.186459886,0.213093574,0.234501234
60,1,2.886374267,0.465467,8.58E-04,6.90E-04,0.39757,9.23E-04,7.38E-04,0.141028326,0.35808556,0.322736985,0.316665548
61,1,2.909411402,0.395281,8.90E-04,6.89E-04,0.411321,9.17E-04,6.96E-04,-0.747408713,0.238380004,0.257676476,0.220262081
62,1,2.919410618,0.410435,8.56E-04,6.48E-04,0.372258,9.11E-04,7.46E-04,-2.680485633,0.382458645,0.26314605,0.324709593
65,1,2.752580577,0.417648,8.49E-04,6.40E-04,0.385056,9.41E-04,7.33E-04,-2.96455702,0.250004863,0.462601991,0.298874907
66,1,2.737929247,0.418206,9.43E-04,7.02E-04,0.375725,9.23E-04,7.07E-04,-0.30965277,0.402271894,0.31084579,0.336280213
67,1,3.049592437,0.415008,8.36E-04,6.36E-04,0.403202,9.33E-04,7.12E-04,0.247783033,0.299631061,0.221057596,0.318897683
68,1,2.786948663,0.426203,8.90E-04,6.63E-04,0.380753,0.00102111,7.99E-04,-2.680485633,0.349255289,0.248821021,0.377298125
72,1,2.875027084,0.383799,9.43E-04,6.28E-04,0.364872,9.11E-04,7.46E-04,-0.30965277,0.111757798,0.312660171,0.259858611
73,1,2.942651732,0.411512,8.56E-04,6.49E-04,0.433936,9.45E-04,6.79E-04,0.141028326,0.351307639,0.145381674,0.215807314
74,1,2.865151592,0.420624,8.71E-04,6.54E-04,0.326136,9.59E-04,7.07E-04,1.183739606,0.607618,0.164860848,0.327409728
75,1,2.910460666,0.411893,9.10E-04,7.02E-04,0.362878,9.59E-04,7.46E-04,4.552241381,0.36001057,0.311513731,0.264483861
78,1,2.856814132,0.404296,8.98E-04,6.89E-04,0.360592,9.28E-04,7.41E-04,3.063667931,0.311144147,0.344817582,0.258156249
79,1,2.8922788,0.426026,8.69E-04,6.50E-04,0.369936,9.36E-04,7.38E-04,1.891253381,0.40113545,0.309533742,0.55978363
80,1,3.006986509,0.394714,8.87E-04,6.85E-04,0.420202,9.23E-04,6.97E-04,-1.082364052,0.342290685,0.233077847,0.335810596
81,1,2.882911883,0.437777,8.84E-04,6.54E-04,0.414095,9.21E-04,6.95E-04,-1.999389778,0.311682083,0.257648016,0.31787676
83,1,2.680445063,0.384212,8.58E-04,6.90E-04,0.327486,9.59E-04,7.16E-04,-4.088259186,0.353675446,0.502977316,0.493551697
85,1,2.8709269,0.40137,8.99E-04,6.84E-04,0.39757,9.63E-04,7.43E-04,-1.659361503,0.454902428,0.225552089,0.292668193
86,1,2.919410618,0.440631,8.75E-04,6.43E-04,0.349251,9.17E-04,7.39E-04,-5.06255571,0.409016763,0.369460601,0.300751829
87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1,3.13669962,0.417801,9.06E-04,6.84E-04,0.362645,0.00100935,7.98E-04,-1.659361503,0.32151773,0.369586081,0.211199712
90,1,3.034172165,0.41777,8.52E-04,6.43E-04,0.336081,8.81E-04,7.09E-04,0.397862332,0.255363755,0.380346059,0.281132995
91,1,2.759609795,0.403136,9.10E-04,7.02E-04,0.366564,9.59E-04,7.07E-04,0.817781682,0.467500958,0.294594081,0.293302439
92,1,2.719821804,0.401966,8.73E-04,6.68E-04,0.3444,9.23E-04,7.07E-04,-1.199811761,0.257016598,0.259200285,0.230278255
93,1,2.86220228,0.378788,8.71E-04,6.80E-04,0.356436,9.19E-04,7.31E-04,-0.13799596,0.330063323,0.36220937,0.376294893
94,1,3.007072266,0.456034,8.37E-04,6.09E-04,0.348618,9.50E-04,7.60E-04,0.486002412,0.35808556,0.257676476,0.24901662
96,1,2.742508486,0.38279,8.58E-04,7.00E-04,0.352391,9.59E-04,7.30E-04,1.125346498,0.363597203,0.211301633,0.259235113
97,1,2.731303726,0.38504,8.83E-04,6.85E-04,0.403589,9.11E-04,6.95E-04,1.735451733,0.388384543,0.243302988,0.37648299
98,1,2.79461472,0.397942,8.45E-04,6.49E-04,0.375725,9.11E-04,7.46E-04,-2.836312128,0.311682083,0.377062995,0.424211314
99,1,2.912801509,0.407633,8.36E-04,6.37E-04,0.389553,9.41E-04,7.32E-04,0.486002412,0.257279997,0.243302988,0.315119088
101,1,2.98653023,0.414594,8.86E-04,6.70E-04,0.348295,9.59E-04,7.66E-04,-2.836312128,0.438301732,0.137240155,0.391349197
103,1,2.934022908,0.445781,8.72E-04,6.41E-04,0.362878,9.43E-04,7.46E-04,-0.30965277,0.476773698,0.299641471,0.351832259
104,1,2.784949352,0.371663,8.80E-04,6.92E-04,0.374219,8.62E-04,7.30E-04,-1.009715766,0.237611614,0.358455629,0.575653489
105,1,2.764237466,0.428169,8.42E-04,6.29E-04,0.425539,8.77E-04,6.59E-04,-0.86750481,0.478797505,0.36331866,0.443660876
106,1,2.791562895,0.414907,8.79E-04,6.63E-04,0.326272,8.62E-04,7.07E-04,-0.519603065,0.54183338,0.502977316,0.359274255
107,1,2.886374267,0.396664,9.10E-04,6.90E-04,0.389853,8.62E-04,7.30E-04,1.710933491,0.294029986,0.188135755,0.33818775
108,1,2.789712575,0.430652,8.56E-04,6.39E-04,0.327486,8.93E-04,7.31E-04,0.097743189,0.218045997,0.184708547,0.136086956
109,1,2.797666331,0.397039,9.08E-04,7.02E-04,0.367535,9.72E-04,7.64E-04,0.246929378,0.342685672,0.368256031,0.41117719
112,1,3.00037154,0.396635,8.56E-04,6.90E-04,0.356314,9.23E-04,7.46E-04,1.710933491,0.36001057,0.238863086,0.258156249
113,1,3.074698539,0.419294,8.55E-04,6.45E-04,0.391371,9.17E-04,7.10E-04,-2.512469902,0.353675446,0.121208552,0.305953412
114,1,2.740566462,0.399062,8.66E-04,6.68E-04,0.35632,9.65E-04,7.68E-04,-4.285190324,0.382555619,0.207016529,0.406854948
115,1,2.835675007,0.419161,8.62E-04,7.00E-04,0.357213,9.23E-04,7.38E-04,0.32390234,0.362094689,0.257676476,0.326001118
116,1,2.720288067,0.424936,8.58E-04,7.02E-04,0.380753,9.11E-04,7.30E-04,3.395351093,0.27754855,0.318917245,0.320257259
119,1,2.811768772,0.437785,8.34E-04,6.22E-04,0.383747,9.52E-04,7.46E-04,1.41293548,0.453142476,0.416251994,0.376370516
120,1,2.756512262,0.409599,8.76E-04,6.68E-04,0.352018,9.34E-04,7.47E-04,1.26194323,0.324238771,0.339845683,0.480591236
121,1,2.832867998,0.427417,8.79E-04,6.58E-04,0.368129,9.71E-04,7.61E-04,1.673762893,0.482524688,0.277124303,0.503419837
123,1,2.886374267,0.389048,9.06E-04,7.04E-04,0.385477,9.95E-04,7.78E-04,2.357222215,0.333018222,0.147130938,0.122758086
124,1,3.13473959,0.371213,8.58E-04,7.02E-04,0.401659,9.03E-04,7.16E-04,-0.475512135,0.311514075,0.322736985,0.259235113
125,1,2.939337452,0.383799,8.62E-04,6.48E-04,0.338758,9.03E-04,7.38E-04,1.656323435,0.299055048,0.289662272,0.321715464
126,1,2.697135499,0.378788,9.43E-04,6.90E-04,0.379302,9.59E-04,7.38E-04,1.299910835,0.19875897,0.260733602,0.321715464
128,1,2.942309212,0.417944,8.75E-04,6.60E-04,0.387768,9.09E-04,7.07E-04,NA,0.211150182,0.082429162,0.507423668
131,1,2.886374267,0.387708,8.56E-04,6.28E-04,0.393301,8.62E-04,7.16E-04,-1.999389778,0.1943586,0.248013781,0.270804097
132,1,2.971128309,0.400574,8.62E-04,6.48E-04,0.382482,9.59E-04,7.07E-04,0.037275729,0.63316422,0.372094874,0.40457407
134,1,2.903309188,0.403402,8.58E-04,7.00E-04,0.397145,9.11E-04,7.38E-04,4.652900123,0.269554841,0.309795241,0.37648299
135,1,2.880831685,0.414594,8.58E-04,6.48E-04,0.353906,9.23E-04,7.07E-04,-2.680485633,0.267144701,0.356527068,0.303507681
136,1,2.697135499,0.38279,9.43E-04,6.48E-04,0.360592,9.03E-04,7.46E-04,-0.519603065,0.237611614,0.377343173,0.415056594
138,1,2.780440497,0.360485,8.56E-04,7.00E-04,0.362685,9.59E-04,7.07E-04,1.224492696,0.409016763,0.311006128,0.248400571
139,1,3.006986509,0.408309,8.56E-04,6.90E-04,0.383716,9.23E-04,7.38E-04,1.3917256,0.398491018,0.211188504,0.262359831
142,1,2.8709269,0.396635,8.62E-04,6.28E-04,0.383747,9.03E-04,7.46E-04,1.21354919,0.352972373,0.248013781,0.291104923
143,1,2.7033492,0.396635,9.10E-04,7.00E-04,0.349251,9.11E-04,7.30E-04,1.710933491,0.23184918,0.307471823,0.259235113
144,1,2.742508486,0.404038,8.58E-04,6.48E-04,0.37461,9.03E-04,7.46E-04,0.486002412,0.314927624,0.138467673,0.160830065
145,1,2.886374267,0.43222,9.10E-04,7.02E-04,0.326136,9.11E-04,7.16E-04,1.787934841,0.263079513,0.209051659,0.493551697
146,1,2.875027084,0.394714,8.62E-04,6.90E-04,0.374561,9.03E-04,7.30E-04,1.1543381,0.526046586,0.138366293,0.259089554
147,1,2.865808765,0.395281,8.62E-04,6.48E-04,0.381635,9.11E-04,7.38E-04,-0.30965277,0.306053731,0.138865265,0.126951698
148,1,2.773258303,0.399515,9.10E-04,6.48E-04,0.352048,8.62E-04,7.16E-04,-2.836312128,0.257016598,0.309795241,0.449271026
149,1,2.742508486,0.42788,8.56E-04,6.90E-04,0.326272,9.03E-04,7.38E-04,0.099036396,0.274180282,0.233077847,0.318897683
150,1,2.886374267,0.419294,8.62E-04,6.90E-04,0.397145,9.11E-04,7.16E-04,0.195739268,0.297966134,0.168237257,0.335810596
153,1,2.742508486,0.440631,8.58E-04,7.00E-04,0.362684,9.23E-04,7.07E-04,-0.363933441,0.097479381,0.299647365,0.287286114
154,1,2.95651666,0.427417,8.58E-04,7.00E-04,0.354774,9.23E-04,7.46E-04,0.996993738,0.311562298,0.366559118,0.10183517
156,1,2.789712575,0.42587,8.62E-04,6.28E-04,0.389853,9.11E-04,7.16E-04,0.677196889,0.496305102,0.251291409,0.551944753
157,1,2.719821804,0.382232,9.10E-04,7.00E-04,0.382093,9.23E-04,7.30E-04,-0.799715759,0.453142476,0.157546508,0.315119088
158,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,1,2.886374267,0.404296,9.10E-04,6.28E-04,0.356436,9.59E-04,7.46E-04,-3.336722094,0.294960595,0.313166364,0.199500237
161,1,3.006986509,0.432973,9.10E-04,7.00E-04,0.410078,9.11E-04,7.16E-04,2.273113313,0.352972373,0.277124303,0.443660876
162,1,2.882911883,0.408778,9.43E-04,7.02E-04,0.358702,9.23E-04,7.46E-04,0.195739268,0.481268195,0.121208552,0.424211314
164,1,2.886374267,0.385373,8.62E-04,7.02E-04,0.427266,9.03E-04,7.30E-04,-0.536956745,0.175382309,0.138366293,0.449951958
166,1,2.934022908,0.456034,9.10E-04,6.48E-04,0.346882,9.23E-04,7.38E-04,-0.657029984,0.39539252,0.199530926,0.389943046
168,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,1,2.875027084,0.400781,8.62E-04,6.90E-04,0.364872,8.62E-04,7.46E-04,-1.821190596,0.311562298,0.338854261,0.338233231
174,1,2.958794308,0.411425,8.58E-04,6.48E-04,0.407644,9.11E-04,7.46E-04,1.111339446,0.341844009,0.235958788,0.262359831
175,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,1,2.873821995,0.444072,8.58E-04,6.28E-04,0.3444,9.59E-04,7.38E-04,0.862191403,0.406845566,0.223971435,0.344642366
178,1,2.919410618,0.432265,8.56E-04,6.28E-04,0.354774,9.03E-04,7.38E-04,1.3917256,0.280958503,0.289662272,0.351832259
180,1,2.971128309,0.399571,8.56E-04,6.48E-04,0.362685,9.11E-04,7.16E-04,1.673762893,0.294029986,0.223971435,0.343566463
181,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,1,2.742508486,0.405627,9.43E-04,7.00E-04,0.383747,9.23E-04,7.38E-04,-3.909561899,0.447834785,0.350754117,0.389943046
186,1,2.851579969,0.444072,9.43E-04,7.02E-04,0.377433,9.03E-04,7.16E-04,2.273113313,0.345816001,0.183098688,0.338233231
187,1,2.882911883,0.395491,8.58E-04,6.48E-04,0.372695,8.62E-04,7.07E-04,-0.657029984,0.330063323,0.218441154,0.296608638
188,1,2.753926647,0.401349,8.58E-04,7.02E-04,0.362645,9.11E-04,7.38E-04,-4.285190324,0.458373359,0.262771012,0.389943046
189,1,2.76209539,0.405046,8.62E-04,6.48E-04,0.341525,8.62E-04,7.30E-04,-0.30965277,0.295411399,0.342811239,0.473912178
190,1,2.789712575,0.399571,8.56E-04,7.00E-04,0.415654,9.23E-04,7.16E-04,-0.542256095,0.453142476,0.100653245,0.22448947
191,1,2.951174196,0.384212,8.56E-04,6.28E-04,0.384429,9.11E-04,7.07E-04,4.652900123,0.351307639,0.236120623,0.449951958
192,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,1,2.839820113,0.403154,9.43E-04,6.90E-04,0.384429,8.62E-04,7.46E-04,2.730621567,0.306053731,0.350754117,0.493551697
194,1,3.000863923,0.376841,8.62E-04,6.28E-04,0.380809,9.11E-04,7.16E-04,-0.192412909,0.438301732,0.262771012,0.37648299
195,1,2.851579969,0.401978,9.10E-04,6.48E-04,0.411321,9.23E-04,7.38E-04,0.220856924,0.458373359,0.174234518,0.393611116
196,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,1,2.934022908,0.445781,8.62E-04,6.28E-04,0.391371,9.59E-04,7.30E-04,0.486002412,0.35808556,0.248821021,0.344211844
202,1,2.720288067,0.4363,8.58E-04,7.02E-04,0.385385,8.62E-04,7.30E-04,-0.210587989,0.607618,0.28840382,0.389943046
203,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
